Date,Open,High,Low,Close,Adj Close,Volume
2018-12-03,31.740000,31.770000,29.990000,30.299999,27.978382,12481600
2018-12-10,30.170000,30.760000,29.639999,30.129999,27.821409,18086900
2018-12-17,30.170000,30.170000,28.799999,28.820000,26.611784,25656000
2018-12-24,29.110001,29.500000,28.410000,29.379999,27.720428,17297700
2018-12-31,29.559999,30.070000,28.910000,29.959999,28.267668,13421100
2019-01-07,29.889999,30.650000,29.820000,30.570000,28.843210,18895800
2019-01-14,30.270000,31.040001,30.160000,30.959999,29.211180,25597700
2019-01-21,30.760000,30.930000,30.549999,30.900000,29.154570,9180600
2019-01-28,30.570000,31.670000,30.480000,31.600000,29.815031,10401200
2019-02-04,31.600000,32.020000,31.469999,31.690001,29.899946,9528600
2019-02-11,31.520000,32.240002,31.430000,32.220001,30.400011,9019300
2019-02-18,32.090000,32.689999,32.090000,32.459999,30.626451,5934100
2019-02-25,32.520000,32.889999,32.439999,32.630001,30.786850,12058200
2019-03-04,32.680000,32.860001,32.119999,32.290001,30.466055,10743200
2019-03-11,32.290001,33.430000,32.279999,33.419998,31.532225,13503300
2019-03-18,33.490002,33.869999,32.959999,32.959999,31.098206,11120900
2019-03-25,32.900002,33.169998,32.799999,33.009998,31.145382,18466700
2019-04-01,33.369999,33.950001,33.320000,33.799999,31.890757,13542800
2019-04-08,33.830002,33.939999,33.630001,33.939999,32.022854,11592000
2019-04-15,33.950001,34.020000,33.730000,33.810001,31.900196,6492000
2019-04-22,33.820000,33.910000,33.279999,33.520000,31.626577,8745500
2019-04-29,33.500000,33.900002,33.290001,33.869999,31.956804,9588800
2019-05-06,33.090000,33.639999,32.669998,33.000000,31.135948,16849800
2019-05-13,32.580002,32.990002,32.299999,32.680000,30.834026,10761400
2019-05-20,32.520000,32.830002,31.930000,32.400002,30.569841,15308100
2019-05-27,32.369999,32.410000,31.469999,31.690001,29.899946,7926300
2019-06-03,31.730000,32.840000,31.629999,32.750000,30.900068,7620500
2019-06-10,32.720001,33.080002,32.430000,32.480000,30.645321,8748600
2019-06-17,31.610001,32.340000,31.549999,32.150002,30.333963,9771400
2019-06-24,32.259998,32.349998,32.090000,32.320000,31.274290,6999700
2019-07-01,32.599998,32.779999,32.209999,32.419998,31.371054,5515900
2019-07-08,32.320000,32.369999,32.090000,32.259998,31.216230,5898600
2019-07-15,32.290001,32.320000,31.950001,32.110001,31.071085,4829900
2019-07-22,32.110001,32.290001,31.820000,32.040001,31.003351,5770100
2019-07-29,32.279999,32.279999,30.629999,30.709999,29.716381,10024100
2019-08-05,30.170000,30.400000,29.709999,30.090000,29.116442,12601500
2019-08-12,30.030001,30.160000,29.389999,29.799999,28.835823,13602800
2019-08-19,30.040001,30.320000,29.760000,29.790001,28.826149,11727100
2019-08-26,29.980000,30.400000,29.740000,30.340000,29.358353,11994500
2019-09-02,30.129999,31.000000,30.100000,30.980000,29.977646,7635500
2019-09-09,30.860001,31.730000,30.760000,31.629999,30.606615,7815200
2019-09-16,31.610001,31.809999,31.400000,31.559999,30.538879,7770900
2019-09-23,31.420000,31.590000,30.950001,31.389999,30.374380,11256500
2019-09-30,31.500000,31.620001,30.040001,30.590000,29.600266,29170900
2019-10-07,30.540001,31.799999,30.110001,31.639999,30.616291,17553300
2019-10-14,31.340000,32.110001,31.320000,32.000000,30.964643,23447700
2019-10-21,32.230000,32.669998,32.099998,32.459999,31.409761,15293700
2019-10-28,32.520000,32.740002,32.340000,32.680000,31.622644,13459500
2019-11-04,32.919998,32.959999,32.520000,32.599998,31.545229,18474000
2019-11-11,32.459999,32.790001,32.430000,32.639999,31.583937,8296300
2019-11-18,32.779999,33.060001,32.240002,32.599998,31.545229,9535600
2019-11-25,32.959999,33.230000,32.900002,32.930000,31.864555,6813500
2019-12-02,32.880001,32.939999,32.110001,32.900002,31.835527,9845700
2019-12-09,32.980000,34.279999,32.810001,34.099998,32.996696,14516600
2019-12-16,34.290001,34.310001,33.490002,33.520000,32.435467,16982200
2019-12-23,33.549999,34.139999,33.500000,33.980000,33.468487,7537400
2019-12-30,34.090000,34.180000,33.759998,33.840000,33.330597,7899200
2020-01-06,33.840000,34.049999,33.610001,33.630001,33.123756,10875100
2020-01-13,33.549999,34.150002,33.520000,34.090000,33.576832,10089000
2020-01-20,33.830002,33.990002,33.500000,33.660000,33.153305,7005100
2020-01-27,33.000000,33.250000,32.520000,32.639999,32.148659,10337500
2020-02-03,32.520000,33.139999,32.389999,32.630001,32.138809,10024200
2020-02-10,32.689999,33.279999,32.650002,32.919998,32.424442,8029900
2020-02-17,32.750000,32.900002,32.599998,32.700001,32.207756,6917800
2020-02-24,31.370001,31.580000,28.360001,29.299999,28.858936,28870900
2020-03-02,29.129999,30.360001,28.600000,28.940001,28.504356,26641300
2020-03-09,26.709999,27.389999,22.420000,24.020000,23.658419,38714500
2020-03-16,20.840000,22.170000,19.700001,20.059999,19.758030,32122900
2020-03-23,20.120001,24.340000,19.510000,23.350000,22.998505,28934200
2020-03-30,23.400000,24.240000,22.430000,22.549999,22.210546,26435000
2020-04-06,23.270000,25.070000,23.230000,24.990000,24.613817,14226700
2020-04-13,25.070000,25.080000,23.730000,24.850000,24.475925,12585600
2020-04-20,24.400000,24.809999,23.590000,24.480000,24.111494,13409300
2020-04-27,24.660000,26.110001,24.490000,24.590000,24.219839,14891200
2020-05-04,24.430000,25.370001,24.340000,25.350000,24.968399,23506700
2020-05-11,24.959999,25.389999,23.610001,24.170000,23.806162,22122500
2020-05-18,24.910000,25.520000,24.809999,25.010000,24.633516,13231700
2020-05-25,25.559999,26.330000,25.400000,25.730000,25.342678,12620000
2020-06-01,25.950001,28.200001,25.940001,27.879999,27.460312,17630900
2020-06-08,28.160000,28.309999,25.660000,26.240000,25.845001,21906100
2020-06-15,25.389999,26.770000,25.260000,25.889999,25.500269,33176000
2020-06-22,26.129999,26.650000,25.440001,25.480000,25.480000,18438600
2020-06-29,25.660000,26.350000,25.410000,26.139999,26.139999,12280500
2020-07-06,26.299999,26.440001,25.580000,26.049999,26.049999,13953700
2020-07-13,26.180000,26.830000,25.680000,26.600000,26.600000,14609500
2020-07-20,26.660000,26.900000,26.190001,26.270000,26.270000,7855100
2020-07-27,26.400000,26.900000,25.730000,25.930000,25.930000,14546800
2020-08-03,26.160000,26.920000,26.090000,26.510000,26.510000,11753000
2020-08-10,26.600000,27.590000,26.559999,26.809999,26.809999,16700100
2020-08-17,27.010000,27.209999,26.350000,26.510000,26.510000,9503200
2020-08-24,26.950001,27.020000,26.590000,26.920000,26.920000,12326700
2020-08-31,26.760000,26.870001,25.709999,26.160000,26.160000,19727500
2020-09-07,25.920000,26.500000,25.690001,25.990000,25.990000,15935600
2020-09-14,26.230000,26.719999,26.040001,26.110001,26.110001,26400000
2020-09-21,25.260000,25.600000,24.799999,25.219999,25.219999,31961700
2020-09-28,25.760000,25.830000,25.340000,25.740000,25.740000,15549800
2020-10-05,25.900000,26.410000,25.610001,26.370001,26.370001,16730200
2020-10-12,26.370001,26.490000,25.170000,25.670000,25.670000,10798800
2020-10-19,25.660000,25.840000,25.320000,25.770000,25.770000,15339800
2020-10-26,25.650000,25.680000,24.020000,24.340000,24.340000,19025600
2020-11-02,24.530001,26.250000,24.400000,26.100000,26.100000,18332700
2020-11-09,27.790001,28.530001,27.309999,28.309999,28.309999,28808900
2020-11-16,28.709999,28.809999,28.230000,28.580000,28.580000,16010200
2020-11-23,28.709999,29.190001,28.440001,28.940001,28.940001,23925600
2020-11-30,28.850000,29.270000,28.219999,29.180000,29.180000,19512800
2020-12-02,29.010000,29.268999,28.980000,29.180000,29.180000,6816123
