Date,Open,High,Low,Close,Adj Close,Volume
2018-12-03,123.370003,124.269997,122.860001,123.580002,123.580002,289600
2018-12-10,122.379997,123.029999,121.099998,122.040001,122.040001,771800
2018-12-17,122.370003,123.120003,122.209999,122.459999,122.459999,139500
2018-12-24,123.230003,123.519997,122.519997,123.160004,123.160004,111600
2018-12-31,123.949997,124.300003,122.010002,123.559998,123.559998,141500
2019-01-07,123.669998,124.779999,123.269997,124.580002,124.580002,275300
2019-01-14,124.690002,126.080002,122.959999,124.790001,124.790001,388200
2019-01-21,125.199997,128.139999,125.199997,128.139999,128.139999,84100
2019-01-28,127.610001,127.900002,126.669998,126.900002,126.900002,365900
2019-02-04,126.669998,127.000000,125.389999,125.440002,125.440002,93100
2019-02-11,124.959999,125.180000,123.900002,125.059998,125.059998,146300
2019-02-18,125.709999,126.889999,125.709999,126.570000,126.570000,85300
2019-02-25,126.760002,129.470001,126.650002,128.029999,128.029999,278800
2019-03-04,127.860001,127.949997,126.010002,126.209999,126.209999,361300
2019-03-11,126.690002,128.949997,126.610001,128.899994,128.899994,560300
2019-03-18,128.570007,128.850006,126.190002,128.000000,128.000000,319000
2019-03-25,128.339996,128.679993,125.889999,126.300003,126.300003,248400
2019-04-01,127.099998,127.800003,126.019997,126.430000,126.430000,219000
2019-04-08,126.680000,127.260002,126.400002,126.820000,126.820000,140000
2019-04-15,127.180000,127.209999,125.870003,125.900002,125.900002,74000
2019-04-22,125.900002,125.970001,125.000000,125.309998,125.309998,88300
2019-04-29,125.230003,127.809998,125.190002,127.709999,127.709999,132900
2019-05-06,126.959999,127.089996,125.809998,126.180000,126.180000,119100
2019-05-13,126.430000,126.430000,123.370003,123.379997,123.379997,157700
2019-05-20,123.419998,124.279999,122.459999,123.309998,123.309998,777300
2019-05-27,122.989998,123.050003,122.010002,122.599998,122.599998,78000
2019-06-03,122.430000,123.730003,122.370003,123.500000,123.500000,136200
2019-06-10,122.930000,123.570000,122.010002,122.010002,122.010002,114200
2019-06-17,122.089996,123.620003,121.400002,123.589996,123.589996,158900
2019-06-24,123.320000,123.589996,122.790001,123.139999,123.139999,233900
2019-07-01,122.779999,122.800003,121.050003,121.449997,121.449997,144900
2019-07-08,121.269997,121.940002,120.720001,121.919998,121.919998,85400
2019-07-15,121.559998,121.769997,120.220001,121.209999,121.209999,150000
2019-07-22,121.050003,121.260002,120.029999,120.129997,120.129997,213700
2019-07-29,118.919998,118.959999,117.239998,117.879997,117.879997,394900
2019-08-05,117.930000,118.360001,116.610001,116.660004,116.660004,264200
2019-08-12,117.309998,117.959999,116.879997,117.800003,117.800003,144200
2019-08-19,117.620003,119.199997,117.320000,119.099998,119.099998,308600
2019-08-26,118.680000,119.290001,117.769997,117.959999,117.959999,188700
2019-09-02,116.629997,119.709999,116.570000,119.160004,119.160004,341200
2019-09-09,119.809998,121.160004,119.430000,121.120003,121.120003,283200
2019-09-16,120.769997,121.730003,120.400002,120.919998,120.919998,289100
2019-09-23,120.540001,121.199997,119.160004,119.230003,119.230003,313600
2019-09-30,119.309998,120.360001,118.410004,119.650002,119.650002,498700
2019-10-07,119.440002,123.190002,118.300003,122.750000,122.750000,544900
2019-10-14,122.010002,125.709999,121.629997,125.500000,125.500000,1555000
2019-10-21,125.900002,126.110001,124.029999,124.389999,124.389999,507200
2019-10-28,124.459999,125.739998,124.459999,125.489998,125.489998,207300
2019-11-04,124.980003,125.209999,123.849998,123.970001,123.970001,151500
2019-11-11,124.820000,125.199997,124.360001,125.099998,125.099998,270800
2019-11-18,125.580002,125.760002,124.330002,124.449997,124.449997,267900
2019-11-25,124.839996,125.489998,124.459999,125.400002,125.400002,194400
2019-12-02,125.370003,127.650002,125.279999,127.430000,127.430000,296700
2019-12-09,127.550003,129.570007,126.540001,129.369995,129.369995,486500
2019-12-16,129.380005,129.539993,125.949997,126.059998,126.059998,556600
2019-12-23,125.540001,127.160004,125.169998,126.750000,126.750000,252100
2019-12-30,127.430000,128.720001,126.730003,126.730003,126.730003,145400
2020-01-06,127.449997,127.709999,126.400002,126.599998,126.599998,127000
2020-01-13,125.989998,126.769997,125.820000,126.169998,126.169998,168800
2020-01-20,126.680000,127.419998,126.400002,126.760002,126.760002,60300
2020-01-27,126.610001,128.000000,125.800003,127.989998,127.989998,163500
2020-02-03,126.250000,126.400002,124.889999,124.889999,124.889999,164600
2020-02-10,125.400002,126.650002,125.160004,126.540001,126.540001,120700
2020-02-17,126.290001,126.320000,124.639999,125.639999,125.639999,75300
2020-02-24,125.260002,126.160004,123.480003,124.309998,124.309998,151700
2020-03-02,123.730003,126.480003,123.610001,126.330002,126.330002,171200
2020-03-09,127.010002,127.489998,119.110001,119.769997,119.769997,168600
2020-03-16,118.529999,119.510002,111.050003,112.320000,112.320000,600100
2020-03-23,112.330002,120.959999,110.959999,120.860001,120.860001,403700
2020-03-30,120.239998,120.820000,118.129997,118.129997,118.129997,429900
2020-04-06,119.000000,120.949997,118.389999,120.830002,120.830002,280500
2020-04-13,120.959999,122.529999,120.279999,121.089996,121.089996,175200
2020-04-20,120.410004,120.800003,118.779999,119.809998,119.809998,65800
2020-04-27,120.419998,122.430000,120.220001,121.169998,121.169998,100800
2020-05-04,120.330002,120.730003,118.959999,120.199997,120.199997,52000
2020-05-11,119.550003,119.599998,117.349998,117.410004,117.410004,59500
2020-05-18,118.190002,119.099998,117.839996,117.889999,117.889999,77500
2020-05-25,119.580002,119.930000,118.239998,119.620003,119.620003,156100
2020-06-01,120.250000,123.300003,120.199997,122.660004,122.660004,307100
2020-06-08,122.830002,124.000000,120.870003,121.260002,121.260002,113800
2020-06-15,121.489998,122.430000,119.559998,119.690002,119.690002,65800
2020-06-22,120.150002,121.370003,119.309998,119.449997,119.449997,245100
