net_id,from_id,to_id,value
2005-03-31,NL,GR,153.9
2005-03-31,NL,IE,299.32
2005-03-31,NL,IT,709.66
2005-03-31,NL,JP,693.66
2005-03-31,NL,PT,99.26
2005-03-31,NL,SE,169.12
2005-03-31,NL,US,4051.77
2005-03-31,TR,AT,5.3
2005-03-31,TR,AU,0.07
2005-03-31,TR,BE,2.22
2005-03-31,TR,CA,1.43
2005-03-31,TR,CH,2.07
2005-03-31,TR,DE,15.2
2005-03-31,TR,ES,0.34
2005-03-31,TR,FI,0.21
2005-03-31,TR,FR,5.69
2005-03-31,TR,GB,9.85
2005-03-31,TR,GR,0.26
2005-03-31,TR,IE,7.85
2005-03-31,TR,IN,0.22
2005-03-31,TR,IT,2.88
2005-03-31,TR,JP,1.98
2005-03-31,TR,NL,11.36
2005-03-31,TR,SE,1.44
2005-03-31,TR,US,10.7
2005-03-31,US,AT,68.51
2005-03-31,US,AU,334.51
2005-03-31,US,BE,202.63
2005-03-31,US,CA,397.72
2005-03-31,US,CH,201.24
2005-03-31,US,CL,83.23
2005-03-31,US,DE,1252.88
2005-03-31,US,ES,214.74
2005-03-31,US,FI,42
2005-03-31,US,FR,395.42
2005-03-31,US,GB,1273.93
2005-03-31,US,GR,79.45
2005-03-31,US,IE,104.48
2005-03-31,US,IN,167.43
2005-03-31,US,IT,369.44
2005-03-31,US,JP,764.9
2005-03-31,US,KR,546.42
2005-03-31,US,NL,424.57
2005-03-31,US,PT,28.94
2005-03-31,US,SE,102.09
2005-03-31,US,TR,55.97
2005-06-30,AT,AU,15.87
2005-06-30,AT,BE,17.88
2005-06-30,AT,CA,7.51
2005-06-30,AT,CH,68.94
2005-06-30,AT,CL,1.44
2005-06-30,AT,DE,381.36
2005-06-30,AT,ES,36.15
2005-06-30,AT,FI,8.88
2005-06-30,AT,FR,63.79
2005-06-30,AT,GB,227.14
2005-06-30,AT,GR,45.98
2005-06-30,AT,IE,49.18
2005-06-30,AT,IN,3.42
2005-06-30,AT,IT,172.85
2005-06-30,AT,JP,13.21
2005-06-30,AT,KR,8.3
2005-06-30,AT,NL,89.67
2005-06-30,AT,PT,17.39
2005-06-30,AT,SE,7.38
2005-06-30,AT,TR,7.72
2005-06-30,AT,US,204.34
2005-06-30,AU,AT,5.41
2005-06-30,AU,BE,16.36
2005-06-30,AU,CA,15.73
2005-06-30,AU,CH,28.18
2005-06-30,AU,DE,65.15
2005-06-30,AU,ES,6.84
2005-06-30,AU,FI,1.92
2005-06-30,AU,FR,50.61
2005-06-30,AU,GB,635.46
2005-06-30,AU,GR,0.45
2005-06-30,AU,IE,7.53
2005-06-30,AU,IN,3.7
2005-06-30,AU,IT,16.82
2005-06-30,AU,JP,15.4
2005-06-30,AU,KR,19.96
2005-06-30,AU,NL,82.48
2005-06-30,AU,PT,2.15
2005-06-30,AU,SE,4.11
2005-06-30,AU,TR,0.82
2005-06-30,AU,US,234.37
2005-06-30,BE,AT,66.52
2005-06-30,BE,AU,53.12
2005-06-30,BE,CA,32.26
2005-06-30,BE,CH,96.16
2005-06-30,BE,CL,1.21
2005-06-30,BE,DE,650.69
2005-06-30,BE,ES,192.5
2005-06-30,BE,FI,26.18
2005-06-30,BE,FR,756.6
2005-06-30,BE,GB,1029.82
2005-06-30,BE,GR,118.91
2005-06-30,BE,IE,246.2
2005-06-30,BE,IN,4.73
2005-06-30,BE,IT,765.71
2005-06-30,BE,JP,56.85
2005-06-30,BE,KR,12.5
2005-06-30,BE,NL,1479.37
2005-06-30,BE,PT,70.25
2005-06-30,BE,SE,20.97
2005-06-30,BE,TR,15.37
2005-06-30,BE,US,681.17
2005-06-30,CH,AT,110.35
2005-06-30,CH,CA,130.23
2005-06-30,CH,DE,951.18
2005-06-30,CH,ES,123.27
2005-06-30,CH,FR,648.84
2005-06-30,CH,GB,2223.78
2005-06-30,CH,IE,86.85
2005-06-30,CH,IT,416.98
2005-06-30,CH,US,9836.01
2005-06-30,CL,AT,0.05
2005-06-30,CL,BE,0.09
2005-06-30,CL,CA,0.01
2005-06-30,CL,CH,0.14
2005-06-30,CL,DE,0.14
2005-06-30,CL,ES,0.31
2005-06-30,CL,FI,0.06
2005-06-30,CL,FR,0.76
2005-06-30,CL,GB,0.81
2005-06-30,CL,GR,0.06
2005-06-30,CL,IN,0.22
2005-06-30,CL,IT,0.05
2005-06-30,CL,JP,0.07
2005-06-30,CL,KR,0.2
2005-06-30,CL,NL,0.02
2005-06-30,CL,SE,0.02
2005-06-30,CL,US,6.67
2005-06-30,DE,AT,1437.23
2005-06-30,DE,AU,274.56
2005-06-30,DE,BE,560.49
2005-06-30,DE,CA,246.7
2005-06-30,DE,CH,507.35
2005-06-30,DE,CL,23.02
2005-06-30,DE,ES,1311.07
2005-06-30,DE,FI,151.54
2005-06-30,DE,FR,1909.24
2005-06-30,DE,GB,7162.93
2005-06-30,DE,GR,376.61
2005-06-30,DE,IE,1104.95
2005-06-30,DE,IN,72.34
2005-06-30,DE,IT,1867.41
2005-06-30,DE,JP,963.54
2005-06-30,DE,KR,78.28
2005-06-30,DE,NL,1319.61
2005-06-30,DE,PT,271.74
2005-06-30,DE,SE,273.81
2005-06-30,DE,TR,100.16
2005-06-30,DE,US,5530.22
2005-06-30,ES,AT,24.03
2005-06-30,ES,AU,16.14
2005-06-30,ES,BE,99.03
2005-06-30,ES,CA,13.92
2005-06-30,ES,CH,31.61
2005-06-30,ES,CL,278.42
2005-06-30,ES,DE,383.42
2005-06-30,ES,FI,14.37
2005-06-30,ES,FR,358.69
2005-06-30,ES,GB,2541.15
2005-06-30,ES,GR,8.14
2005-06-30,ES,IE,90
2005-06-30,ES,IN,0.1
2005-06-30,ES,IT,292.48
2005-06-30,ES,JP,9.01
2005-06-30,ES,KR,1.53
2005-06-30,ES,NL,159.79
2005-06-30,ES,PT,477.54
2005-06-30,ES,SE,27.73
2005-06-30,ES,TR,2.61
2005-06-30,ES,US,578.06
2005-06-30,FR,AT,87.67
2005-06-30,FR,AU,254.6
2005-06-30,FR,BE,655.59
2005-06-30,FR,CA,162.26
2005-06-30,FR,CH,402.96
2005-06-30,FR,CL,15.34
2005-06-30,FR,DE,1263.22
2005-06-30,FR,ES,789
2005-06-30,FR,FI,47.11
2005-06-30,FR,GB,2292.43
2005-06-30,FR,GR,159.82
2005-06-30,FR,IE,270
2005-06-30,FR,IN,46
2005-06-30,FR,IT,1125.6
2005-06-30,FR,JP,1415.91
