IngredientName,IngredientId,PortionUOMTypeId
"Chicken, Oven Crisp                                ",173,15
"Smoothie, Strawberry Concentrate                   ",174,15
"Smoothie, Mango Concentrate                        ",175,15
"Smoothie, Non Fat Vanilla Yogurt                   ",176,15
"Fruit Blend, Parfait                               ",177,15
"Granola, Parfait                                   ",178,11
"Cup & Lid,  7 oz Parfait                           ",179,11
"Lid, Hot Cup 12 & 16 oz                            ",180,11
"Toy, Kids Meal Premium                             ",181,11
Golden Italian Sauce                               ,182,15
Hummus                                             ,183,15
"Mayonnaise Packets, PC Packets                     ",184,11
Creamy Italian Sauce                               ,185,12
"Mustard Packets, PC Packets                        ",186,11
"Vinegar Packets, PC Packets                        ",187,11
"Oil Packets, PC Packets                            ",188,11
Hot Chocolate powder                               ,189,11
"Tea bag, single serve                              ",190,11
"Ice Tea, Brewed bulk                               ",191,11
"Chicken, Shaved                                    ",192,15
"Cups, Cold, 12 oz./350ml-360ml                     ",193,11
"Bag, Catering Tray carry bag                       ",194,11
"Cleaner, Coffee Pot Cleaner                        ",195,11
"Cream Cheese, Portion Control pack                 ",196,11
Drink Carrier                                      ,197,11
"Cleaner, Acrylic Cleaner                           ",198,11
"Cup, Clear 7 oz.                                   ",199,11
"Cleaning, Board Bright Cutting Board Cleaner       ",200,11
"Cleaner, Liquid Drain cleaner                      ",201,11
"Cleaning, Trash Can Liner                          ",202,11
"Cleaner, Degreaser                                 ",203,11
"Lid, Cold  Cup 7 oz.                               ",204,11
House Sandwich Sauce - Metric                      ,205,15
Greek Vinaigrette Sauce Dressing - Metric          ,206,NA
Lobster                                            ,207,15
Fruit Roll-up                                      ,208,11
"Cleaner, De-Limer & Scale Remover                  ",209,11
"Cleaner, Dish Detergent                            ",210,11
"Cleaning, Towels - Paper                           ",211,11
Distributor Fee                                    ,212,11
Distributor Credit / Discount                      ,213,NA
"Cleaner, Floor                                     ",214,11
"Cleaner, Freezer                                   ",215,11
"Cleaner, Glass                                     ",216,11
"Cleaner, Graffiti Remover                          ",217,11
"Cleaner, Hand Sanitizer                            ",218,11
"Cleaner, Kleer Wash                                ",219,11
Apple Snapz                                        ,220,NA
"Cleaner, Oven                                      ",221,11
"Cleaner, Hand Soap                                 ",222,11
"Cleaner, Restroom Cleaner                          ",223,11
Distributor Credit                                 ,224,11
SUBWAY Card                                        ,225,11
"Cleaner, Ice Machine                               ",226,11
"Cleaner, Fountain Machine Drain                    ",227,11
"Cleaner, Spot Remover                              ",228,11
"Cleaner, Stainless Steel Polish                    ",229,11
"Cleaning, Deck Brush                               ",230,11
"Cleaning, Broom Handle                             ",231,11
"Cleaning, Wiper                                    ",232,11
"Cleaning, Grease Trap Maintainer                   ",233,11
"Cleaning, Mop Head                                 ",234,11
"Cleaning, Mop Bucket                               ",235,11
"Cleaning, Broom                                    ",236,11
"Cleaning, Mini Mop Refills                         ",237,11
"Cleaning, Mini Mop Starter Kit                     ",238,11
"Cleaning, Restroom Bowl Brush                      ",239,11
"Cleaning, Power Eraser Supplies                    ",240,11
"Cleaning, Squeegee                                 ",241,11
Coffee Filters                                     ,242,11
Pan Liner                                          ,243,11
"Pan Liner, Soup                                    ",244,11
Baking Paper                                       ,245,11
"Register Roll, Thermal                             ",246,11
"Register Roll, Bond                                ",247,11
PVC Film                                           ,248,11
Pan Coating Spray                                  ,249,11
Coffee Stirrer                                     ,250,11
"Sweetner, Splenda                                  ",251,11
"Tissue, Roll                                       ",252,11
"Cleaner, Surface Sanitizer                         ",253,11
"Cleaner, Sanitizer                                 ",254,NA
"Tray & Lid , Aluminum Catering 1/3 size            ",255,11
Paper Products                                     ,256,NA
Falafel                                            ,257,15
"Sauce, Zesty Tzatziki Cucumber                     ",258,15
Gluten-Free Bread                                  ,259,11
"Sauce, Gorganzola                                  ",260,15
"Sauce, Wasabi                                      ",261,15
"Smoothie, Pomagranate Berry Concentrate            ",262,15
"Cup, Smoothie 16 oz. clear                         ",263,11
"Lid, Smoothie                                      ",264,11
"Juice, Chilled Orange                              ",265,11
"Chicken Salad, Southwest Style                     ",266,15
"Eggplant, Breaded Peel-On Eggplant                 ",267,15
Braised Beef with Vegetables & Gravy               ,268,15
"Jug, 1 Gallon                                      ",269,11
"Sweet Peppers, Topping                             ",270,15
"Chicken Fritter Patty, No-Fry Crisp                ",271,15
Horseradish Mayonnaise Sauce                       ,272,15
"Creamers, individual portions                      ",273,11
Sweetener packets                                  ,274,11
Chicken Strips - Metric                            ,275,13
"Chicken, Oven Roasted Patty - Metric               ",276,13
Salami - Metric                                    ,277,13
Ham - Metric                                       ,278,13
Meatballs - Metric                                 ,279,13
Pepperoni - Metric                                 ,280,13
Roast Beef - Metric                                ,281,13
"Steak, Shaved - Metric                             ",282,13
Tuna - Metric                                      ,283,13
"Cheese, Sliced - Metric                            ",284,13
Olives - Metric                                    ,285,13
Pickles - Metric                                   ,286,13
Jalapeno Peppers - Metric                          ,287,13
Banana Peppers - Metric                            ,288,13
Green Peppers - Metric                             ,289,13
Onions - Metric                                    ,290,13
Lettuce - Metric                                   ,291,13
Tomatoes - Metric                                  ,292,13
"Cheese, Shredded - Metric                          ",293,13
Parmesan Cheese - Metric                           ,294,13
Mayonnaise - Metric                                ,295,13
Ranch - Metric                                     ,296,13
Buffalo Sauce - Metric                             ,297,13
Honey Mustard Sauce - Metric                       ,298,13
Sweet Onion Sauce - Metric                         ,299,13
Teriyaki Glaze - Metric                            ,300,13
Salt & Pepper Blend - Metric                       ,301,13
"Vinegar, sauce - Metric                            ",302,13
BBQ Rib Patty - Metric                             ,303,NA
BBQ Sauce - Metric                                 ,304,13
Burger Patty - Metric                              ,305,NA
"Carrots, Shredded - Metric                         ",306,13
BBQ Chicken - Metric                               ,307,NA
Chicken Fritter - Metric                           ,308,13
Chicken Salad - Metric                             ,309,NA
"Sauce, Lemon Olive Oil                             ",310,15
Hash Browns - Metric                               ,311,13
Sausage Patties - Metric                           ,312,13
Falafel - Metric                                   ,313,13
"Cheese, Shredded, Mozzarella - Metric              ",314,13
Pepperoni For Pizza - Metric                       ,315,13
Sausage Pizza Crumble - Metric                     ,316,13
"Protein, Pork, Pulled Applewood                    ",317,15
"Sauce, Poblano Caesar Sauce                        ",318,15
"Yogurt, Bulk - Metric                              ",319,13
"Sauce, Italian Dressing - Metric                   ",320,13
Turkey - Metric                                    ,321,13
Bologna - Metric                                   ,322,13
"Sauce, Green Chili                                 ",323,15
Pastrami - Metric                                  ,324,13
Pulled Pork - Metric                               ,325,13
Cold Cut Combo - Metric                            ,326,13
Hot Pepper Relish                                  ,327,15
"Egg, Hard Cooked                                   ",328,11
Hot Chocolate                                      ,329,15
"Yogurt, Parfait (Pre-made)                         ",330,11
Giardiniera Topping                                ,331,15
"Sauce, Zesty Avocado Sauce                         ",332,15
Ketchup - Metric                                   ,333,13
Fountain Bev Syrup - Metric                        ,334,14
Balsamic Vinaigrette Sauce                         ,335,15
"Ketchup Packets, PC Packets                        ",336,11
"Lemon Juice Packets, PC Packets                    ",337,11
"Sauce, Cheddar Cheese Sauce                        ",338,15
"Chicken, Sliced Chicken  - Metric                  ",339,NA
"Bag, Small Pre-Pack Cookie                         ",340,11
"Bag, Large Pre-Pack Cookie                         ",341,11
"Box, Catering Bulk Box                             ",342,11
Beef Brisket - Metric                              ,343,13
"Soup, Frozen - Metric                              ",344,13
"Sauce, Thousand Island - Metric                    ",345,13
Bread Topping - Metric                             ,346,13
Toothpicks                                         ,347,11
"Sauce, Zesty Tzatziki  Cucumber - Metric           ",348,13
"Steak, Diced - Metric                              ",349,13
"Milk, Chocolate, Bottle                            ",350,11
