,StoreNumber,date,Quantity
291,46673,2015-03-05,152.0
292,46673,2015-03-06,100.0
293,46673,2015-03-07,54.0
294,46673,2015-03-08,199.0
295,46673,2015-03-09,166.0
296,46673,2015-03-10,143.0
297,46673,2015-03-11,162.0
298,46673,2015-03-12,116.0
299,46673,2015-03-13,136.0
300,46673,2015-03-14,68.0
301,46673,2015-03-15,176.0
302,46673,2015-03-16,181.0
303,46673,2015-03-17,120.0
304,46673,2015-03-18,141.0
305,46673,2015-03-19,205.0
306,46673,2015-03-20,118.0
307,46673,2015-03-21,62.0
308,46673,2015-03-22,152.0
309,46673,2015-03-23,135.0
310,46673,2015-03-24,180.0
311,46673,2015-03-25,172.0
312,46673,2015-03-26,180.0
313,46673,2015-03-27,82.0
314,46673,2015-03-28,96.0
315,46673,2015-03-29,193.0
316,46673,2015-03-30,209.0
317,46673,2015-03-31,146.0
318,46673,2015-04-01,189.0
319,46673,2015-04-02,170.0
320,46673,2015-04-03,94.0
321,46673,2015-04-04,67.0
322,46673,2015-04-05,182.0
323,46673,2015-04-06,201.0
324,46673,2015-04-07,186.0
325,46673,2015-04-08,223.0
326,46673,2015-04-09,187.0
327,46673,2015-04-10,96.0
328,46673,2015-04-11,70.0
329,46673,2015-04-12,156.0
330,46673,2015-04-13,220.0
331,46673,2015-04-14,214.0
332,46673,2015-04-15,160.0
333,46673,2015-04-16,180.0
334,46673,2015-04-17,114.0
335,46673,2015-04-18,76.0
336,46673,2015-04-19,194.0
337,46673,2015-04-20,176.0
338,46673,2015-04-21,141.0
339,46673,2015-04-22,194.0
340,46673,2015-04-23,153.0
341,46673,2015-04-24,102.0
342,46673,2015-04-25,128.0
343,46673,2015-04-26,193.0
344,46673,2015-04-27,185.0
345,46673,2015-04-28,173.0
346,46673,2015-04-29,169.0
347,46673,2015-04-30,171.0
348,46673,2015-05-01,95.0
349,46673,2015-05-02,80.0
350,46673,2015-05-03,137.0
351,46673,2015-05-04,147.0
352,46673,2015-05-05,163.0
353,46673,2015-05-06,183.0
354,46673,2015-05-07,165.0
355,46673,2015-05-08,78.0
356,46673,2015-05-09,88.0
357,46673,2015-05-10,169.0
358,46673,2015-05-11,172.0
359,46673,2015-05-12,169.0
360,46673,2015-05-13,190.0
361,46673,2015-05-14,123.0
362,46673,2015-05-15,76.0
363,46673,2015-05-16,50.0
364,46673,2015-05-17,147.0
365,46673,2015-05-18,126.0
366,46673,2015-05-19,159.0
367,46673,2015-05-20,172.0
368,46673,2015-05-21,162.0
369,46673,2015-05-22,92.0
370,46673,2015-05-23,79.0
371,46673,2015-05-24,99.0
372,46673,2015-05-25,125.0
373,46673,2015-05-26,171.0
374,46673,2015-05-27,182.0
375,46673,2015-05-28,185.0
376,46673,2015-05-29,98.0
377,46673,2015-05-30,50.0
378,46673,2015-05-31,151.0
379,46673,2015-06-01,188.0
380,46673,2015-06-02,148.0
381,46673,2015-06-03,165.0
382,46673,2015-06-04,167.0
383,46673,2015-06-05,96.0
384,46673,2015-06-06,86.0
385,46673,2015-06-07,244.0
386,46673,2015-06-08,173.0
387,46673,2015-06-09,127.0
388,46673,2015-06-10,124.0
389,46673,2015-06-11,151.0
390,46673,2015-06-12,134.0
391,46673,2015-06-13,96.0
392,46673,2015-06-14,138.0
393,46673,2015-06-15,244.0
