,StoreNumber,date,Quantity
0,4904,2015-03-13,176.0
1,4904,2015-03-14,182.0
2,4904,2015-03-15,347.0
3,4904,2015-03-16,400.0
4,4904,2015-03-17,406.0
5,4904,2015-03-18,382.0
6,4904,2015-03-19,324.0
7,4904,2015-03-20,192.0
8,4904,2015-03-21,274.0
9,4904,2015-03-22,370.0
10,4904,2015-03-23,332.0
11,4904,2015-03-24,390.0
12,4904,2015-03-25,384.0
13,4904,2015-03-26,377.0
14,4904,2015-03-27,232.0
15,4904,2015-03-28,219.0
16,4904,2015-03-29,376.0
17,4904,2015-03-30,360.0
18,4904,2015-03-31,422.0
19,4904,2015-04-01,448.0
20,4904,2015-04-02,332.0
21,4904,2015-04-03,312.0
22,4904,2015-04-04,235.0
23,4904,2015-04-05,402.0
24,4904,2015-04-06,406.0
25,4904,2015-04-07,436.0
26,4904,2015-04-08,449.0
27,4904,2015-04-09,378.0
28,4904,2015-04-10,270.0
29,4904,2015-04-11,298.0
30,4904,2015-04-12,354.0
31,4904,2015-04-13,426.0
32,4904,2015-04-14,400.0
33,4904,2015-04-15,400.0
34,4904,2015-04-16,370.0
35,4904,2015-04-17,320.0
36,4904,2015-04-18,210.0
37,4904,2015-04-19,342.0
38,4904,2015-04-20,384.0
39,4904,2015-04-21,410.0
40,4904,2015-04-22,410.0
41,4904,2015-04-23,380.0
42,4904,2015-04-24,253.0
43,4904,2015-04-25,254.0
44,4904,2015-04-26,426.0
45,4904,2015-04-27,428.0
46,4904,2015-04-28,378.0
47,4904,2015-04-29,412.0
48,4904,2015-04-30,364.0
49,4904,2015-05-01,262.0
50,4904,2015-05-02,196.0
51,4904,2015-05-03,376.0
52,4904,2015-05-04,402.0
53,4904,2015-05-05,360.0
54,4904,2015-05-06,362.0
55,4904,2015-05-07,322.0
56,4904,2015-05-08,218.0
57,4904,2015-05-09,231.0
58,4904,2015-05-10,434.0
59,4904,2015-05-11,356.0
60,4904,2015-05-12,426.0
61,4904,2015-05-13,360.0
62,4904,2015-05-14,341.0
63,4904,2015-05-15,226.0
64,4904,2015-05-16,332.0
65,4904,2015-05-17,300.0
66,4904,2015-05-18,320.0
67,4904,2015-05-19,322.0
68,4904,2015-05-20,290.0
69,4904,2015-05-21,298.0
70,4904,2015-05-22,162.0
71,4904,2015-05-23,264.0
72,4904,2015-05-24,168.0
73,4904,2015-05-25,284.0
74,4904,2015-05-26,334.0
75,4904,2015-05-27,370.0
76,4904,2015-05-28,270.0
77,4904,2015-05-29,258.0
78,4904,2015-05-30,206.0
79,4904,2015-05-31,436.0
80,4904,2015-06-01,362.0
81,4904,2015-06-02,374.0
82,4904,2015-06-03,318.0
83,4904,2015-06-04,330.0
84,4904,2015-06-05,251.0
85,4904,2015-06-06,230.0
86,4904,2015-06-07,416.0
87,4904,2015-06-08,318.0
88,4904,2015-06-09,352.0
89,4904,2015-06-10,298.0
90,4904,2015-06-11,256.0
91,4904,2015-06-12,223.0
92,4904,2015-06-13,216.0
93,4904,2015-06-14,350.0
94,4904,2015-06-15,338.0
