,StoreNumber,date,Quantity
95,12631,2015-03-05,232.0
96,12631,2015-03-06,227.0
97,12631,2015-03-07,181.0
98,12631,2015-03-08,221.0
99,12631,2015-03-09,229.0
100,12631,2015-03-10,237.0
101,12631,2015-03-11,235.0
102,12631,2015-03-12,244.0
103,12631,2015-03-13,218.0
104,12631,2015-03-14,205.0
105,12631,2015-03-15,248.0
106,12631,2015-03-16,153.0
107,12631,2015-03-17,222.0
108,12631,2015-03-18,262.0
109,12631,2015-03-19,259.0
110,12631,2015-03-20,274.0
111,12631,2015-03-21,250.0
112,12631,2015-03-22,209.0
113,12631,2015-03-23,202.0
114,12631,2015-03-24,207.0
115,12631,2015-03-25,251.0
116,12631,2015-03-26,256.0
117,12631,2015-03-27,246.0
118,12631,2015-03-28,251.0
119,12631,2015-03-29,214.0
120,12631,2015-03-30,218.0
121,12631,2015-03-31,245.0
122,12631,2015-04-01,268.0
123,12631,2015-04-02,236.0
124,12631,2015-04-03,352.0
125,12631,2015-04-04,190.0
126,12631,2015-04-05,280.0
127,12631,2015-04-06,232.0
128,12631,2015-04-07,243.0
129,12631,2015-04-08,217.0
130,12631,2015-04-09,309.0
131,12631,2015-04-10,354.0
132,12631,2015-04-11,212.0
133,12631,2015-04-12,264.0
134,12631,2015-04-13,252.0
135,12631,2015-04-14,251.0
136,12631,2015-04-15,306.0
137,12631,2015-04-16,291.0
138,12631,2015-04-17,328.0
139,12631,2015-04-18,221.0
140,12631,2015-04-19,199.0
141,12631,2015-04-20,249.0
142,12631,2015-04-21,241.0
143,12631,2015-04-22,265.0
144,12631,2015-04-23,279.0
145,12631,2015-04-24,313.0
146,12631,2015-04-25,233.0
147,12631,2015-04-26,324.0
148,12631,2015-04-27,354.0
149,12631,2015-04-28,324.0
150,12631,2015-04-29,307.0
151,12631,2015-04-30,316.0
152,12631,2015-05-01,324.0
153,12631,2015-05-02,203.0
154,12631,2015-05-03,369.0
155,12631,2015-05-04,246.0
156,12631,2015-05-05,267.0
157,12631,2015-05-06,256.0
158,12631,2015-05-07,313.0
159,12631,2015-05-08,277.0
160,12631,2015-05-09,257.0
161,12631,2015-05-10,264.0
162,12631,2015-05-11,238.0
163,12631,2015-05-12,259.0
164,12631,2015-05-13,361.0
165,12631,2015-05-14,316.0
166,12631,2015-05-15,263.0
167,12631,2015-05-16,233.0
168,12631,2015-05-17,256.0
169,12631,2015-05-18,220.0
170,12631,2015-05-19,258.0
171,12631,2015-05-20,237.0
172,12631,2015-05-21,350.0
173,12631,2015-05-22,271.0
174,12631,2015-05-23,194.0
175,12631,2015-05-24,244.0
176,12631,2015-05-25,289.0
177,12631,2015-05-26,253.0
178,12631,2015-05-27,318.0
179,12631,2015-05-28,371.0
180,12631,2015-05-29,351.0
181,12631,2015-05-30,279.0
182,12631,2015-05-31,236.0
183,12631,2015-06-01,204.0
184,12631,2015-06-02,252.0
185,12631,2015-06-03,241.0
186,12631,2015-06-04,279.0
187,12631,2015-06-05,232.0
188,12631,2015-06-06,245.0
189,12631,2015-06-07,282.0
190,12631,2015-06-08,230.0
191,12631,2015-06-09,294.0
192,12631,2015-06-10,235.0
193,12631,2015-06-11,376.0
194,12631,2015-06-12,366.0
195,12631,2015-06-13,229.0
196,12631,2015-06-14,234.0
197,12631,2015-06-15,232.0
