,StoreNumber,date,Quantity
174,12631,2015/5/3,359.0
175,12631,2015/5/30,269.0
176,12631,2015/5/31,225.0
177,12631,2015/5/4,246.0
178,12631,2015/5/5,253.0
179,12631,2015/5/6,250.0
180,12631,2015/5/7,307.0
181,12631,2015/5/8,259.0
182,12631,2015/5/9,243.0
183,12631,2015/6/1,192.0
184,12631,2015/6/10,233.0
185,12631,2015/6/11,370.0
186,12631,2015/6/12,346.0
187,12631,2015/6/13,225.0
188,12631,2015/6/14,224.0
189,12631,2015/6/15,228.0
190,12631,2015/6/2,244.0
191,12631,2015/6/3,233.0
192,12631,2015/6/4,271.0
193,12631,2015/6/5,224.0
194,12631,2015/6/6,209.0
195,12631,2015/6/7,274.0
196,12631,2015/6/8,223.0
197,12631,2015/6/9,288.0
198,20974,2015/3/13,29.0
199,20974,2015/3/16,6.0
200,20974,2015/3/17,8.0
201,20974,2015/3/18,4.0
202,20974,2015/3/20,146.0
203,20974,2015/3/21,112.0
204,20974,2015/3/22,152.0
205,20974,2015/3/23,218.0
206,20974,2015/3/24,214.0
207,20974,2015/3/25,186.0
208,20974,2015/3/26,162.0
209,20974,2015/3/27,152.0
210,20974,2015/3/28,128.0
211,20974,2015/3/29,230.0
212,20974,2015/3/30,272.0
213,20974,2015/3/31,270.0
214,20974,2015/3/6,4.0
215,20974,2015/4/1,242.0
216,20974,2015/4/10,235.0
217,20974,2015/4/11,221.0
218,20974,2015/4/12,260.0
219,20974,2015/4/13,224.0
220,20974,2015/4/14,224.0
221,20974,2015/4/15,321.0
222,20974,2015/4/16,234.0
223,20974,2015/4/17,255.0
224,20974,2015/4/18,221.0
225,20974,2015/4/19,207.0
226,20974,2015/4/2,168.0
227,20974,2015/4/20,256.0
228,20974,2015/4/21,236.0
229,20974,2015/4/22,216.0
230,20974,2015/4/23,278.0
231,20974,2015/4/24,272.0
232,20974,2015/4/25,157.0
233,20974,2015/4/26,230.0
234,20974,2015/4/27,263.0
235,20974,2015/4/28,269.0
236,20974,2015/4/29,285.0
237,20974,2015/4/3,200.0
238,20974,2015/4/30,221.0
239,20974,2015/4/4,14.0
240,20974,2015/4/5,227.0
241,20974,2015/4/6,163.0
242,20974,2015/4/7,195.0
243,20974,2015/4/8,226.0
244,20974,2015/4/9,244.0
245,20974,2015/5/1,182.0
246,20974,2015/5/10,260.0
247,20974,2015/5/11,235.0
248,20974,2015/5/12,188.0
249,20974,2015/5/13,212.0
250,20974,2015/5/14,252.0
251,20974,2015/5/15,176.0
252,20974,2015/5/16,190.0
253,20974,2015/5/17,194.0
254,20974,2015/5/18,216.0
255,20974,2015/5/19,210.0
256,20974,2015/5/2,150.0
257,20974,2015/5/20,222.0
258,20974,2015/5/21,197.0
259,20974,2015/5/22,150.0
260,20974,2015/5/23,110.0
261,20974,2015/5/24,120.0
262,20974,2015/5/25,231.0
263,20974,2015/5/26,240.0
264,20974,2015/5/27,253.0
265,20974,2015/5/28,210.0
266,20974,2015/5/29,192.0
267,20974,2015/5/3,301.0
268,20974,2015/5/30,128.0
269,20974,2015/5/31,168.0
270,20974,2015/5/4,220.0
271,20974,2015/5/5,235.0
272,20974,2015/5/6,238.0
273,20974,2015/5/7,257.0
274,20974,2015/5/8,180.0
275,20974,2015/5/9,108.0
276,20974,2015/6/1,196.0
277,20974,2015/6/10,250.0
278,20974,2015/6/11,360.0
279,20974,2015/6/12,154.0
280,20974,2015/6/13,196.0
281,20974,2015/6/14,163.0
282,20974,2015/6/15,252.0
283,20974,2015/6/2,220.0
284,20974,2015/6/3,231.0
285,20974,2015/6/4,211.0
286,20974,2015/6/5,179.0
287,20974,2015/6/6,159.0
288,20974,2015/6/7,184.0
289,20974,2015/6/8,212.0
290,20974,2015/6/9,194.0
291,46673,2015/3/10,133.0
292,46673,2015/3/11,162.0
293,46673,2015/3/12,114.0
294,46673,2015/3/13,134.0
295,46673,2015/3/14,68.0
296,46673,2015/3/15,164.0
297,46673,2015/3/16,175.0
298,46673,2015/3/17,116.0
299,46673,2015/3/18,141.0
300,46673,2015/3/19,191.0
301,46673,2015/3/20,116.0
302,46673,2015/3/21,62.0
303,46673,2015/3/22,150.0
304,46673,2015/3/23,133.0
305,46673,2015/3/24,165.0
306,46673,2015/3/25,168.0
307,46673,2015/3/26,172.0
308,46673,2015/3/27,82.0
309,46673,2015/3/28,92.0
310,46673,2015/3/29,177.0
311,46673,2015/3/30,195.0
312,46673,2015/3/31,144.0
313,46673,2015/3/5,148.0
314,46673,2015/3/6,92.0
315,46673,2015/3/7,54.0
316,46673,2015/3/8,191.0
317,46673,2015/3/9,164.0
